price,bedrooms,surface,floors
274.0,3,1830,2.0
500.0,4,2120,1.0
320.0,3,1260,1.0
445.5,3,1880,1.0
637.5,3,1680,1.0
460.0,2,2730,1.0
259.0,3,1270,1.5
950.0,3,2780,1.0
550.0,3,1930,2.0
265.5,3,1860,1.0
162.0,4,1460,1.0
2395.0,4,3800,2.0
385.0,3,1070,1.0
230.0,3,1010,1.0
665.0,3,1940,1.5
412.0,4,3360,2.0
177.5,3,1220,1.0
330.0,4,2000,1.0
445.0,4,2430,1.5
139.5,2,1230,2.0
1060.0,4,3880,2.5
300.0,5,2000,2.0
499.9,3,2100,2.0
275.9,3,1380,1.0
1289.0,4,3100,2.0
610.0,3,2260,1.0
720.0,3,2180,1.0
637.0,4,2900,2.0
375.0,1,720,1.0
329.95,3,2070,1.0
465.0,3,1590,2.0
416.0,3,1110,1.0
480.0,6,3028,2.0
185.0,2,670,1.0
605.0,5,3040,2.0
435.0,4,2030,2.0
199.129,3,860,1.0
279.95,5,2150,1.0
230.0,2,950,1.0
385.0,3,1710,1.0
406.43,3,1380,1.0
363.75,3,1726,2.0
316.0,3,1900,2.0
649.95,6,1900,1.0
740.0,5,3990,2.0
559.95,3,1660,3.0
289.95,3,1090,1.0
831.5,5,4470,2.5
287.0,4,2240,2.0
492.45,3,1540,1.0
588.0,3,1780,1.5
245.0,4,2140,2.0
399.95,3,1860,2.0
385.0,5,2190,1.0
3200.0,4,7000,1.0
779.95,4,2990,2.0
605.0,4,2620,2.0
789.5,4,3010,2.0
495.0,4,3390,2.0
300.0,3,1760,2.0
730.0,5,2870,2.0
264.95,2,1000,1.0
359.0,2,1370,2.0
539.95,4,2910,1.0
280.0,3,1700,1.0
775.0,2,2680,1.0
295.0,4,1810,1.0
195.0,3,1200,1.0
930.0,4,2200,2.0
1511.25,3,4010,1.0
785.0,4,2990,2.0
411.8,4,2190,1.0
519.0,4,3250,2.0
669.0,3,1560,1.5
760.0,4,2590,3.0
601.15,2,1660,1.0
750.0,3,2460,1.0
895.9,4,3640,2.0
284.0,3,1560,1.0
572.0,3,2360,1.0
400.0,4,2370,2.5
226.5,3,1560,1.0
295.0,2,840,1.0
673.0,4,2590,2.0
570.0,2,1500,1.0
860.0,3,1880,1.0
930.0,3,3100,1.0
469.5,4,2090,1.0
730.0,3,2160,1.0
350.0,4,2610,2.0
802.5,4,3320,2.0
535.0,3,2740,2.0
379.9,4,1500,1.0
500.0,2,2070,2.0
536.751,3,1930,1.0
1180.0,5,3270,2.0
230.0,3,1260,1.0
417.0,2,1190,1.5
1475.0,5,3680,1.5
645.0,3,1900,2.5
950.0,5,3450,2.0
835.0,3,2960,2.0
275.0,3,1900,1.0
545.0,2,2930,1.0
336.75,4,1720,1.0
300.0,4,1660,2.0
425.0,2,1140,3.0
1450.0,3,3940,1.0
600.0,3,2320,2.0
717.0,4,2540,2.0
475.0,4,1800,1.0
259.95,2,1070,2.0
557.0,3,1630,3.0
450.0,3,1640,1.0
273.0,4,1990,2.0
565.0,3,1880,1.0
390.0,4,1900,1.0
445.0,3,1260,1.0
430.0,3,940,1.5
360.0,3,1480,2.0
545.0,3,1740,3.0
452.0,3,1530,2.0
610.0,4,2910,2.0
390.0,2,1150,1.0
265.0,4,1580,2.0
675.0,3,2320,1.0
459.5,4,2060,1.0
234.3,3,1140,1.0
554.0,3,1760,1.0
359.95,5,2844,2.0
600.0,4,2520,1.0
735.0,4,2460,1.5
339.95,3,1340,1.5
255.0,3,1320,2.0
1079.0,4,4800,2.0
605.0,5,3060,2.0
1419.0,5,4020,2.0
1065.0,3,3970,1.5
275.0,5,1820,1.0
335.0,4,1900,2.0
191.0,2,700,1.0
355.0,4,1890,2.0
768.0,3,2660,2.0
612.5,4,2060,1.0
605.0,2,860,1.0
450.0,3,1350,1.0
465.0,3,1730,1.0
349.95,3,1060,1.0
1140.0,4,3080,1.0
789.5,4,3240,2.0
145.0,3,1010,1.0
575.0,4,2120,2.0
640.0,3,2370,2.0
379.0,3,1580,2.0
760.0,4,2730,2.0
423.0,4,1970,1.5
175.0,6,1370,1.5
280.0,4,1600,2.0
850.0,3,3000,1.0
658.5,2,1410,1.5
509.95,3,1880,2.0
455.0,4,3170,2.0
680.0,4,2720,2.0
380.0,2,1210,1.0
